"filename", "language", "Markdown", "JavaScript", "CSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\booster.js", "JavaScript", 0, 241, 0, 0, 0, 2, 10, 253
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\index.css", "CSS", 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 3, 3, 18
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\AdminPage\announcing.css", "CSS", 0, 0, 650, 0, 0, 9, 70, 729
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\AdminPage\reported_ID.js", "JavaScript", 0, 76, 0, 0, 0, 2, 12, 90
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\AdminPage\reported_ID_detailed.js", "JavaScript", 0, 172, 0, 0, 0, 2, 19, 193
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\AdminPage\reported_booster.js", "JavaScript", 0, 61, 0, 0, 0, 0, 4, 65
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\AdminPage\reported_booster_detailed.js", "JavaScript", 0, 294, 0, 0, 0, 0, 19, 313
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\CreateOrderPage\CreateSellOrder.js", "JavaScript", 0, 344, 0, 0, 0, 1, 33, 378
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\CreateOrderPage\booster.css", "CSS", 0, 0, 84, 0, 0, 1, 18, 103
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\CreateOrderPage\booster.js", "JavaScript", 0, 253, 0, 0, 0, 22, 14, 289
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\LoginRegister\signin.js", "JavaScript", 0, 149, 0, 0, 0, 5, 24, 178
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\LoginRegister\signup.js", "JavaScript", 0, 148, 0, 0, 0, 5, 20, 173
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\MainshopPage\MainShop.css", "CSS", 0, 0, 85, 0, 0, 10, 13, 108
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\MainshopPage\MainShop.js", "JavaScript", 0, 82, 0, 0, 0, 2, 12, 96
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\OwnProfilePage\UserReport.js", "JavaScript", 0, 432, 0, 0, 0, 1, 45, 478
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\OwnProfilePage\ownProfile.js", "JavaScript", 0, 252, 0, 0, 0, 0, 31, 283
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\OwnProfilePage\ฺBoosterReport.js", "JavaScript", 0, 433, 0, 0, 0, 1, 46, 480
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\OwnProfilePage\ฺBuyerReport.js", "JavaScript", 0, 219, 0, 0, 0, 0, 31, 250
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\ProfilePage\Profile.js", "JavaScript", 0, 192, 0, 0, 0, 0, 30, 222
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\ViewOrderPage\BoosterDetail.js", "JavaScript", 0, 350, 0, 0, 0, 8, 49, 407
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\ViewOrderPage\OrderDetail.js", "JavaScript", 0, 224, 0, 0, 0, 0, 34, 258
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\index.js", "JavaScript", 0, 22, 0, 0, 0, 0, 4, 26
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\pages\slide.css", "CSS", 0, 0, 43, 0, 0, 0, 8, 51
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\66918\Desktop\Year3-Semaster1\SoftWareDev\softdev_front\SoftDev_Frontend\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 4, 1, 6
"Total", "-", 38, 4866, 1440, 18125, 23, 122, 800, 25414
